,N,#procs,time_mean,time_std,cpu_mean,cpu_std,instance,parallel
187,32,8,0.0285,0.00028,25.0,3.07,m5xlarge,False
188,32,16,0.0285,0.000375,89.3,3.03,m5xlarge,True
189,32,16,0.0283,0.000264,24.7,4.48,m5xlarge,False
190,32,32,0.0411,0.0006259999999999999,93.3,1.71,m5xlarge,True
191,32,32,0.0287,0.00020899999999999998,24.7,3.03,m5xlarge,False
192,64,1,0.23,0.000521,25.0,0.45799999999999996,m5xlarge,True
193,64,1,0.222,0.00198,25.1,0.38799999999999996,m5xlarge,False
194,64,2,0.13,0.0115,49.7,0.763,m5xlarge,True
195,64,2,0.223,0.00179,25.0,0.473,m5xlarge,False
196,64,4,0.11599999999999999,0.000405,98.3,0.861,m5xlarge,True
197,64,4,0.21899999999999997,0.00151,24.8,0.40399999999999997,m5xlarge,False
198,64,8,0.12,0.000248,96.2,0.838,m5xlarge,True
199,64,8,0.21899999999999997,0.00133,25.1,0.13699999999999998,m5xlarge,False
200,64,16,0.126,0.000811,97.6,0.74,m5xlarge,True
201,64,16,0.21899999999999997,0.00155,25.0,0.268,m5xlarge,False
202,64,32,0.14,0.000917,97.4,1.13,m5xlarge,True
203,64,32,0.225,0.0016899999999999999,25.3,0.39799999999999996,m5xlarge,False
204,128,1,1.84,0.0063100000000000005,25.0,0.04,m5xlarge,True
205,128,1,1.79,0.0119,25.0,0.0632,m5xlarge,False
206,128,2,0.9359999999999999,0.009170000000000001,49.9,0.127,m5xlarge,True
207,128,2,1.77,0.0161,25.0,0.0458,m5xlarge,False
208,128,4,0.914,0.0038200000000000005,99.6,0.158,m5xlarge,True
209,128,4,1.8,0.0135,25.1,0.0806,m5xlarge,False
210,128,8,0.909,0.00279,99.5,0.11900000000000001,m5xlarge,True
211,128,8,1.77,0.0148,25.0,0.04,m5xlarge,False
212,128,16,0.914,0.00335,99.4,0.341,m5xlarge,True
213,128,16,1.78,0.0133,25.0,0.0748,m5xlarge,False
214,128,32,0.914,0.0012,99.5,0.16,m5xlarge,True
215,128,32,1.74,0.0122,25.0,0.064,m5xlarge,False
216,256,1,14.7,0.0492,25.0,0.0,m5xlarge,True
217,256,1,14.3,0.0845,25.0,0.0,m5xlarge,False
218,256,2,7.46,0.0219,50.0,0.05,m5xlarge,True
219,256,2,14.4,0.105,25.0,0.03,m5xlarge,False
